1 - Ipitinga
2 - Vilas Atlantico
3 - Caji
4 - Areia Branca
5 - Portao
6 - Vila Praiana
7 - Aracui
8 - Jockey Clube
9 - Pitangueiras
10 - Centro
11 - Buraquinho
13 - Itinga
14 - Sao Cristovao
15 - Cassange
16 - Est do Coco
17 - Jd Aeroporto
18 - Pa do Flamengo
19 - Jambeiro
20 - Capelao SSA
21 - Lote Miragem
23 - Itinga SSA
24 - Ipitinga SSA
25 - Areia Branca SSA
26 - Cassange SSA
27 - Stella Maris SSA
28 - Aeroporto
29 - Jd Castelao
31 - Quingoma
33 - Jd dos Passaros
34 - Cia Mar SSA
35 - Recrei Ipitinga
36 - Caixa Dagua
37 - Vida Nova
38 - Capelao
39 - Pq Sao Paulo
